time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-27T09:53:34.500Z,19.098,-68.5083,72,2.88,md,10,183,0.7064,0.74,pr,pr2019147006,2019-05-27T14:43:11.506Z,"52km NNE of Otra Banda, Dominican Republic",earthquake,5.12,6.94,0.47,9,reviewed,pr,pr
2019-05-27T09:52:21.622Z,58.8609,-152.3514,65.4,5.8,ml,,,,0.55,ak,ak0196r9o3rq,2019-05-28T16:51:38.249Z,"89km SSW of Homer, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-05-27T09:25:20.546Z,-8.2112,158.6148,116.67,5.5,mb,,45,1.795,1.08,us,us60003snl,2019-05-28T16:12:55.040Z,"49km WSW of Dadali, Solomon Islands",earthquake,8.9,6.6,0.062,89,reviewed,us,us
2019-05-27T06:19:04.480Z,47.269,-113.1028333,18.47,2.58,ml,24,163,0.217,0.19,mb,mb80345874,2019-05-28T03:36:41.870Z,"30km ENE of Seeley Lake, Montana",earthquake,0.59,0.96,0.147,16,reviewed,mb,mb
2019-05-27T06:08:35.885Z,69.5646,-144.195,30,2.9,ml,,,,0.62,ak,ak0196r7megg,2019-05-27T06:11:57.019Z,"66km SSW of Kaktovik, Alaska",earthquake,,163.1,,,automatic,ak,ak
2019-05-27T05:50:54.094Z,62.3286,-148.5853,31.2,3.3,ml,,,,0.66,ak,ak0196r7a0k7,2019-05-27T17:51:09.951Z,"60km NNE of Sutton-Alpine, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2019-05-27T04:45:50.833Z,-20.9001,-113.6794,10,4.5,mb,,91,39.36,0.75,us,us60003smb,2019-05-27T23:33:21.040Z,"Southern East Pacific Rise",earthquake,16,1.7,0.08,46,reviewed,us,us
2019-05-27T03:59:57.372Z,60.6432,-147.8218,13,2.7,ml,,,,0.57,ak,ak0196r65321,2019-05-27T23:23:20.040Z,"49km ESE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-27T02:55:16.110Z,37.498,-118.844,6.24,2.66,md,34,115,0.09263,0.05,nc,nc73187581,2019-05-28T17:18:04.237Z,"16km WSW of Toms Place, CA",earthquake,0.18,0.84,0.193,39,reviewed,nc,nc
2019-05-27T01:57:32.210Z,17.9015,-68.6491,105,3.27,md,8,237,1.543,0.48,pr,pr2019147000,2019-05-27T23:15:59.040Z,"93km S of Boca de Yuma, Dominican Republic",earthquake,7.97,6.8,0.09,7,reviewed,pr,pr
2019-05-27T01:56:18.876Z,-21.0216,-178.7803,586.46,4.9,mb,,28,4.422,0.89,us,us60003sla,2019-05-27T02:21:23.040Z,"41km SSW of Ndoi Island, Fiji",earthquake,10.4,5.9,0.029,384,reviewed,us,us
2019-05-27T01:20:31.914Z,53.9509,-163.5992,24.76,2.5,ml,,187,0.778,0.55,us,us60003srf,2019-05-27T23:10:31.040Z,"100km S of False Pass, Alaska",earthquake,5,12.9,0.097,14,reviewed,us,us
2019-05-27T00:25:07.230Z,18.988,145.7459,134.89,4.6,mb,,97,3.726,0.96,us,us60003sl1,2019-05-27T01:32:56.040Z,"25km NNE of Agrihan, Northern Mariana Islands",earthquake,10.6,7.4,0.033,277,reviewed,us,us
2019-05-27T00:23:25.842Z,65.9681,-166.2731,4.4,2.8,ml,,,,1.06,ak,ak0196r4501p,2019-05-27T19:01:12.471Z,"33km SSW of Shishmaref, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-26T23:31:57.258Z,38.54,16.1676,6.51,4.1,mb,,58,0.352,1.1,us,us60003sk5,2019-05-27T09:23:45.948Z,"1km S of Melicucca, Italy",earthquake,4.3,5.7,0.186,8,reviewed,us,us
2019-05-26T22:10:22.456Z,50.334,156.5409,57.59,4.5,mb,,131,2.87,0.98,us,us60003sj7,2019-05-26T22:33:10.040Z,"48km SE of Severo-Kuril'sk, Russia",earthquake,10.3,7.6,0.046,139,reviewed,us,us
2019-05-26T20:57:33.443Z,-23.9862,179.4217,518.7,4.6,mb,,115,6.34,1.13,us,us60003sik,2019-05-26T21:39:11.040Z,"South of the Fiji Islands",earthquake,12.9,7.8,0.086,40,reviewed,us,us
2019-05-26T20:17:17.587Z,60.9123,-147.6913,18.5,2.5,ml,,,,0.89,ak,ak0196psh0o4,2019-05-26T20:44:21.040Z,"56km ENE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-26T20:16:21.090Z,-11.2528,27.0199,10,4.7,mb,,85,4.159,1.15,us,us60003si1,2019-05-27T11:12:04.555Z,"43km SE of Likasi, Democratic Republic of the Congo",earthquake,9.8,1.9,0.174,10,reviewed,us,us
2019-05-26T19:26:57.807Z,66.2796,-156.9269,0,3.2,ml,,,,0.74,ak,ak0196prxlki,2019-05-26T20:31:00.040Z,"70km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-26T19:04:17.573Z,36.7837,140.6809,35,4.6,mb,,156,1.086,0.74,us,us60003sh4,2019-05-27T09:35:58.218Z,"6km W of Kitaibaraki, Japan",earthquake,3.2,2,0.151,13,reviewed,us,us
2019-05-26T17:00:02.310Z,2.232,128.4602,10,4.7,mb,,114,1.816,0.88,us,us60003sgj,2019-05-26T19:17:02.040Z,"74km NE of Tobelo, Indonesia",earthquake,5.5,1.9,0.092,36,reviewed,us,us
2019-05-26T16:45:28.390Z,19.2948,-67.8673,71,3.15,md,11,209,0.9896,0.53,pr,pr2019146010,2019-05-26T21:49:16.651Z,"97km NE of Punta Cana, Dominican Republic",earthquake,4.17,8.49,0.17,11,reviewed,pr,pr
2019-05-26T15:47:23.771Z,28.874,130.5609,10,4.9,mb,,71,2.868,0.44,us,us60003sg5,2019-05-26T16:32:23.040Z,"119km ENE of Naze, Japan",earthquake,7.2,1.9,0.06,88,reviewed,us,us
2019-05-26T15:25:52.018Z,43.2527,18.0101,10,3.1,ml,,116,1.234,0.63,us,us60003sfx,2019-05-26T22:40:45.473Z,"8km W of Nevesinje, Bosnia and Herzegovina",earthquake,3.4,2,0.06,36,reviewed,us,us
2019-05-26T14:33:15.017Z,-10.2853,165.4169,37.44,5.1,mb,,72,5.454,0.79,us,us60003sfi,2019-05-26T15:20:05.040Z,"65km NW of Lata, Solomon Islands",earthquake,10.7,7.4,0.039,217,reviewed,us,us
2019-05-26T13:59:36.187Z,36.3959,68.2003,37.89,4.1,mb,,164,1.165,0.87,us,us60003sfe,2019-05-26T14:21:19.040Z,"22km NE of Aibak, Afghanistan",earthquake,7.8,13.1,0.212,6,reviewed,us,us
2019-05-26T13:34:35.989Z,-25.9736,-69.05,118.02,4.3,mb,,162,0.861,0.56,us,us60003sfb,2019-05-26T13:55:38.040Z,"109km ENE of Diego de Almagro, Chile",earthquake,8.5,8.9,0.265,4,reviewed,us,us
2019-05-26T12:54:07.834Z,36.6983,-97.6908,5,3.1,mb_lg,,48,0.204,0.15,us,us60003sf2,2019-05-26T14:27:50.689Z,"12km SSE of Medford, Oklahoma",earthquake,1,1.8,0.047,117,reviewed,us,us
2019-05-26T11:57:00.862Z,17.2993,-95.3774,119.53,4.3,mb,,160,3.055,0.6,us,us60003sev,2019-05-26T12:29:43.323Z,"36km WNW of Palomares, Mexico",earthquake,13.9,26.2,0.081,43,reviewed,us,us
2019-05-26T10:41:15.527Z,-13.2323,-75.0665,77.58,4.6,mb,,115,2.129,0.79,us,us60003sed,2019-05-26T20:16:35.296Z,"52km S of Huancavelica, Peru",earthquake,8.4,7.7,0.068,65,reviewed,us,us
